GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037128704,Census Tract 1287.04; Los Angeles County; California,1728,63,16,221,0,114,186
1400000U,6037128801,Census Tract 1288.01; Los Angeles County; California,2324,294,43,443,16,142,602
1400000U,6037128802,Census Tract 1288.02; Los Angeles County; California,2400,465,0,737,17,271,427
1400000U,6037128910,Census Tract 1289.10; Los Angeles County; California,2809,115,17,435,0,390,762
1400000U,6037131021,Census Tract 1310.21; Los Angeles County; California,870,218,20,335,120,1517,157
1400000U,6037131022,Census Tract 1310.22; Los Angeles County; California,813,110,110,483,0,1004,357
1400000U,6037131023,Census Tract 1310.23; Los Angeles County; California,862,117,0,344,0,1072,260
1400000U,6037131024,Census Tract 1310.24; Los Angeles County; California,985,356,75,439,0,1909,130
1400000U,6037131100,Census Tract 1311; Los Angeles County; California,1486,6,0,298,0,1003,224
1400000U,6037131200,Census Tract 1312; Los Angeles County; California,2203,150,50,268,13,774,223
1400000U,6037131300,Census Tract 1313; Los Angeles County; California,786,121,1,709,0,1836,863
1400000U,6037131400,Census Tract 1314; Los Angeles County; California,2128,125,210,838,38,1278,1278
1400000U,6037131600,Census Tract 1316; Los Angeles County; California,1153,398,27,883,0,1628,853
1400000U,6037131701,Census Tract 1317.01; Los Angeles County; California,1876,269,0,1219,0,1142,371
1400000U,6037131702,Census Tract 1317.02; Los Angeles County; California,1321,178,70,426,0,994,680
1400000U,6037131801,Census Tract 1318.01; Los Angeles County; California,628,35,0,565,0,1302,349
1400000U,6037131802,Census Tract 1318.02; Los Angeles County; California,770,254,11,352,0,615,335
1400000U,6037131900,Census Tract 1319; Los Angeles County; California,1714,19,13,485,0,1080,648
1400000U,6037132001,Census Tract 1320.01; Los Angeles County; California,1127,130,108,369,0,564,416
1400000U,6037132002,Census Tract 1320.02; Los Angeles County; California,1550,96,113,88,0,964,774
1400000U,6037132101,Census Tract 1321.01; Los Angeles County; California,1590,135,0,166,0,566,1656
1400000U,6037132102,Census Tract 1321.02; Los Angeles County; California,2320,168,31,847,0,1036,591
1400000U,6037132301,Census Tract 1323.01; Los Angeles County; California,986,499,89,576,0,1147,319
1400000U,6037132302,Census Tract 1323.02; Los Angeles County; California,1244,96,20,620,0,1043,153
1400000U,6037132501,Census Tract 1325.01; Los Angeles County; California,1483,141,0,325,0,2217,492
1400000U,6037132502,Census Tract 1325.02; Los Angeles County; California,2055,43,0,226,0,716,358
